Country Name,country_code,Indicator Name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,ABW,Real interest rate (%),-2.63,2.5,5.45,3.86,2.09,1.52,4.78,6.466464697,6.934939387,6.258843591,4.521314228,4.793837009,6.558682097,5.036706031,4.042074421,6.993632668,6.869454741,6.310568066,4.196823878,10.70626392,10.90409074,6.599455252,6.479181358,8.42512012,7.271181784,7.419914646,6.367173363,4.200284279,5.165102193,8.820588633,11.0518814,5.715113589,7.551327442,5.047421548,5.192489028,6.531343062
Africa Eastern and Southern,AFE,Real interest rate (%),-2.63,2.5,5.45,3.86,2.09,1.52,4.78,0.91,11.57,0.37,2.17,1.58,3.17,3.3,2.66,2.86,9.53,9.51,10.95,8.39,6.61,9.23,9.09,7.83,5.04,4.91,4.39,5.15,2.4,10.74,4.63,3.31,5.97,6.98,7.38,8.86
Afghanistan,AFG,Real interest rate (%),-2.63,2.5,5.45,3.86,2.09,1.52,4.78,0.91,11.57,0.37,2.17,1.58,3.17,3.3,2.66,2.86,9.53,9.51,10.95,8.39,6.61,9.23,9.09,7.83,5.04,4.91,10.04689711,-3.58511111,12.55796015,17.54292893,11.36409374,-1.241506002,7.174387244,9.784495938,14.35168934,12.25254816
Africa Western and Central,AFW,Real interest rate (%),-2.63,2.5,5.45,3.86,2.09,1.52,4.78,0.91,11.57,0.37,2.17,1.58,3.17,3.3,2.66,2.86,9.53,9.51,10.95,8.39,6.61,9.23,9.09,7.83,5.04,4.91,4.39,5.15,2.4,10.74,4.63,3.31,5.97,6.98,7.38,8.86
Angola,AGO,Real interest rate (%),-2.63,2.5,5.45,3.86,2.09,1.52,4.78,0.91,11.57,0.37,2.17,1.58,3.17,3.3,2.66,-84.09500018,-93.51345888,-29.52270655,4.047558877,-72.57850016,-60.78132704,-5.032933217,-33.55340241,1.128335509,36.64112902,17.79980358,2.042994969,12.83733436,-5.726999567,38.97594669,-7.34887141,-9.876417733,8.76478682,12.61073106,12.38059919,21.14418284
Albania,ALB,Real interest rate (%),-2.63,2.5,5.45,3.86,2.09,1.52,3.501953157,1.000309155,1.000584369,0.996284184,1.437570042,-25.46909106,-63.78712048,-42.57351395,-8.963182193,8.801745014,-10.28697484,19.2994943,10.95,19.1102893,15.5754116,15.2617074,11.24647778,8.623874258,8.34605448,9.455505476,10.20876158,9.304741443,8.550524872,10.00074742,7.971036594,9.888462236,9.736112074,9.510397491,6.324557536,7.272492418
Andorra,AND,Real interest rate (%),-2.63,2.5,5.45,3.86,2.09,1.52,4.78,0.91,11.57,0.37,2.17,1.58,3.17,3.3,2.66,2.86,9.53,9.51,10.95,8.39,6.61,9.23,9.09,7.83,5.04,4.91,4.39,5.15,2.4,10.74,4.63,3.31,5.97,6.98,7.38,8.86
Arab World,ARB,Real interest rate (%),-2.63,2.5,5.45,3.86,2.09,1.52,4.78,0.91,11.57,0.37,2.17,1.58,3.17,3.3,2.66,2.86,9.53,9.51,10.95,8.39,6.61,9.23,9.09,7.83,5.04,4.91,4.39,5.15,2.4,10.74,4.63,3.31,5.97,6.98,7.38,8.86
United Arab Emirates,ARE,Real interest rate (%),-2.63,2.5,5.45,3.86,2.09,1.52,4.78,0.91,11.57,0.37,2.17,1.58,3.17,3.3,2.66,2.86,9.53,9.51,10.95,8.39,6.61,9.23,9.09,7.83,5.04,4.91,4.39,5.15,2.4,10.74,4.63,3.31,5.97,6.98,7.38,8.86
Argentina,ARG,Real interest rate (%),-2.63,2.5,5.45,3.86,2.09,1.52,4.78,0.91,11.57,0.37,2.17,1.58,3.17,3.3,2.66,2.86,9.53,9.51,10.95,8.39,6.61,9.23,9.09,7.83,5.04,4.91,4.39,5.15,2.4,10.74,-8.56602872,-7.773405236,-6.748195554,-5.485839182,-11.60069877,-1.314708785
Armenia,ARM,Real interest rate (%),-2.63,2.5,5.45,3.86,2.09,1.52,4.78,0.91,11.57,0.37,2.17,1.58,3.17,3.3,2.66,-24.91305774,39.10516828,30.9943494,34.13461159,38.77366744,33.39846306,21.78215208,18.34706928,15.51698759,11.624816,14.31614594,11.38149246,12.69474446,10.43491465,15.87088144,10.60763579,12.91975789,11.28119329,12.21684304,13.78124866,16.18000967
American Samoa,ASM,Real interest rate (%),-2.63,2.5,5.45,3.86,2.09,1.52,4.78,0.91,11.57,0.37,2.17,1.58,3.17,3.3,2.66,2.86,9.53,9.51,10.95,8.39,6.61,9.23,9.09,7.83,5.04,4.91,4.39,5.15,2.4,10.74,4.63,3.31,5.97,6.98,7.38,8.86
Antigua and Barbuda,ATG,Real interest rate (%),-2.63,2.5,-0.316966134,6.130422893,7.353090163,3.396981354,3.49138708,1.619777168,-2.661367581,5.793892499,8.843559258,9.788471409,9.992749197,10.66916877,9.590986317,10.05092322,9.013653559,9.973061003,9.876812886,10.41105777,10.45584316,9.993627711,10.61163832,13.80627077,10.26681426,6.63621147,10.44035152,6.463065588,5.794591791,8.080009163,9.387676141,9.799531399,7.95945312,11.00304647,8.007274551,6.617884715
Australia,AUS,Real interest rate (%),-0.033646537,2.103472046,1.414503981,2.050263688,3.375272317,7.440465263,8.026029492,7.498073222,6.42243354,6.60191091,9.662192809,10.06731688,8.944828726,8.449874245,7.984505794,8.046597478,6.817369154,5.825704903,5.429741819,6.049594667,5.029976877,2.126389144,3.429428078,3.49984747,3.685497438,3.324808508,2.370627697,3.060896007,4.1043511,0.983437679,6.04335497,1.44126323,5.094718893,6.3414347,4.444099355,6.2299527
Austria,AUT,Real interest rate (%),-2.63,2.5,5.45,3.86,2.09,1.52,4.78,0.91,11.57,0.37,2.17,1.58,3.17,3.3,2.66,2.86,9.53,9.51,10.95,8.39,6.61,9.23,9.09,7.83,5.04,4.91,4.39,5.15,2.4,10.74,4.63,3.31,5.97,6.98,7.38,8.86
Azerbaijan,AZE,Real interest rate (%),-2.63,2.5,5.45,3.86,2.09,1.52,4.78,0.91,11.57,0.37,2.17,1.58,3.17,3.3,2.66,2.86,9.53,9.51,21.01798666,16.95460713,6.36757337,16.76907934,12.62440595,7.942301035,5.920291125,2.009036378,5.895815194,-1.56862415,-6.27259257,47.90105748,6.300701754,-2.885979521,15.02960684,17.68622051,19.39167796,28.94544176
Burundi,BDI,Real interest rate (%),-3.766860947,19.22924479,5.98831967,5.234921701,-4.450063398,6.596780826,16.98033754,15.96339107,8.221738112,-2.402625011,5.997142472,8.348477599,7.833429517,5.591120353,7.090833434,-0.727268465,9.53,9.51,3.543673658,0.245048218,-16.67919754,2.732903688,18.25203631,5.614402302,4.514521187,-0.3337127,13.83318731,7.915114947,-6.194835556,3.274559064,3.554157242,4.492489472,0.024113859,6.662044587,9.841407506,-4.949044593
Belgium,BEL,Real interest rate (%),-2.63,2.5,5.45,3.86,2.09,1.52,4.78,0.91,11.57,0.37,2.17,1.58,3.17,3.3,2.66,2.86,9.53,9.51,10.95,8.39,6.61,9.23,9.09,7.83,5.04,4.91,4.39,5.15,2.4,10.74,4.63,3.31,5.97,6.98,7.38,8.86
Benin,BEN,Real interest rate (%),-2.63,2.5,5.45,3.86,2.09,1.52,4.78,0.91,11.57,0.37,2.17,1.58,3.17,3.3,2.66,2.86,9.53,9.51,10.95,8.39,6.61,9.23,9.09,7.83,5.04,3.596098155,2.588145618,4.344562975,-1.362331084,2.377428574,4.195490191,1.468030817,-2.46960852,3.836592954,5.599991796,4.266334386
Burkina Faso,BFA,Real interest rate (%),-2.63,2.5,5.45,3.86,2.09,1.52,4.78,0.91,11.57,0.37,2.17,1.58,3.17,3.3,2.66,2.86,9.53,9.51,10.95,8.39,6.61,9.23,9.09,7.83,5.04,4.944070101,5.435521584,2.204376718,-3.82524863,2.511578975,1.285141169,-1.388528991,-0.741639727,7.5780202,5.995918151,7.545939073
Bangladesh,BGD,Real interest rate (%),-5.988132182,1.1279848,1.16377388,2.439473298,3.020813216,-6.211926915,4.374505694,3.353217679,6.837361623,6.006888297,7.803215576,11.71898735,11.05035713,13.74096927,9.125764687,5.455284559,-5.16455193,8.853321042,7.82564811,8.978643048,8.998203237,9.256955719,8.389699358,5.88445428,5.582355611,5.764269121,5.466993804,5.789111438,4.661742572,6.146538327,4.736123572,5.064197684,5.343332657,5.988693908,6.885866275,5.512644316
